task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
RUL,h__time__clearance_factor,37,0.2189251252204915,17,0.3940985999147148,41,0.1748515560008244,31.666666666666668,0.2626250937120102,0,0,not_top10
RUL,h__time__impulse_factor,36,0.2198726178422838,19,0.3918372919766743,42,0.1737805813626174,32.333333333333336,0.2618301637271918,0,0,not_top10
RUL,v__time__skewness,29,0.3115005927989203,41,0.2139231553522114,27,0.2421025169871494,32.333333333333336,0.255842088379427,0,0,not_top10
RUL,h__spectral__peak_frequency,32,0.3103628510379593,44,0.162899235295869,24,0.269325808110769,33.333333333333336,0.2475292981481991,0,0,not_top10
RUL,v__time__clearance_factor,27,0.3248445511515346,39,0.2207390464801173,34,0.197977119748777,33.333333333333336,0.24785357246014295,0,0,not_top10
RUL,v__time__impulse_factor,28,0.3200234266341308,40,0.2175858285839987,35,0.196406418647698,34.333333333333336,0.2446718912886092,0,0,not_top10
RUL,h__time__crest_factor,38,0.2163216444753534,24,0.385967398521062,44,0.1684541426664057,35.333333333333336,0.25691439522094034,0,0,not_top10
RUL,mag__spectral__peak_frequency,26,0.3517770564842757,37,0.2500482337792367,45,0.1463599624343436,36.0,0.24939508423261866,0,0,not_top10
RUL,v__time__crest_factor,33,0.3091557782827668,42,0.2109608269051662,36,0.1941153764605128,37.0,0.2380773272161486,0,0,not_top10
RUL,mag__time__clearance_factor,44,0.1751578980593752,32,0.3180421201156503,39,0.178378463497194,38.333333333333336,0.2238594938907398,0,0,not_top10
